bairro_norm;distrito_sanitario;casos_estimados;taxa_incidencia_ds;nivel_risco
RECIFE;DS I (Centro);18;13.5;Moderado
SANTO AMARO;DS I (Centro);18;13.5;Moderado
BOA VISTA;DS I (Centro);18;13.5;Moderado
CABANGA;DS I (Centro);18;13.5;Moderado
ILHA DO LEITE;DS I (Centro);18;13.5;Moderado
PAISSANDU;DS I (Centro);18;13.5;Moderado
SANTO ANTONIO;DS I (Centro);18;13.5;Moderado
SAO JOSE;DS I (Centro);18;13.5;Moderado
COELHOS;DS I (Centro);18;13.5;Moderado
SOLEDADE;DS I (Centro);18;13.5;Moderado
ILHA JOANA BEZERRA;DS I (Centro);18;13.5;Moderado
ALTO SANTA TEREZINHA;DS II (Norte);39;16.4;Alto
AGUA FRIA;DS II (Norte);39;16.4;Alto
ARRUDA;DS II (Norte);39;16.4;Alto
BEBERIBE;DS II (Norte);39;16.4;Alto
BOMBA DO HEMETERIO;DS II (Norte);39;16.4;Alto
CAMPO GRANDE;DS II (Norte);39;16.4;Alto
CAJUEIRO;DS II (Norte);39;16.4;Alto
CAMPINA DO BARRETO;DS II (Norte);39;16.4;Alto
DOIS UNIDOS;DS II (Norte);39;16.4;Alto
FUNDAO;DS II (Norte);39;16.4;Alto
HIPODROMO;DS II (Norte);39;16.4;Alto
LINHA DO TIRO;DS II (Norte);39;16.4;Alto
PONTO DE PARADA;DS II (Norte);39;16.4;Alto
PORTO DA MADEIRA;DS II (Norte);39;16.4;Alto
PEIXINHOS;DS II (Norte);39;16.4;Alto
ROSARINHO;DS II (Norte);39;16.4;Alto
TORREAO;DS II (Norte);39;16.4;Alto
AFLITOS;DS III (Noroeste - Planície/Colinas);11;7.3;Baixo
ALTO DO MANDU;DS III (Noroeste - Planície/Colinas);11;7.3;Baixo
APIPUCOS;DS III (Noroeste - Planície/Colinas);11;7.3;Baixo
CASA AMARELA;DS III (Noroeste - Planície/Colinas);11;7.3;Baixo
CASA FORTE;DS III (Noroeste - Planície/Colinas);11;7.3;Baixo
DERBY;DS III (Noroeste - Planície/Colinas);11;7.3;Baixo
