ano;mes;casos
1977;Jan;0
1984;Jan;0
1989;Jan;0
2004;Jan;0
2007;Jan;7
2008;Jan;5
2009;Jan;8
2010;Jan;6
2011;Jan;11
2012;Jan;9
2013;Jan;4
2014;Jan;10
2015;Jan;4
2016;Jan;12
2017;Jan;3
2018;Jan;13
2019;Jan;8
2020;Jan;5
2021;Jan;2
2022;Jan;9
2023;Jan;9
2024;Jan;13
2025;Jan;9
2026;Jan;11
1977;Fev;0
1984;Fev;0
1989;Fev;0
2004;Fev;0
2007;Fev;5
2008;Fev;8
2009;Fev;3
2010;Fev;7
2011;Fev;20
2012;Fev;17
2013;Fev;7
2014;Fev;8
2015;Fev;8
2016;Fev;8
2017;Fev;6
2018;Fev;18
2019;Fev;16
2020;Fev;5
2021;Fev;2
2022;Fev;4
2023;Fev;12
2024;Fev;18
2025;Fev;41
2026;Fev;8
1977;Mar;0
1984;Mar;0
1989;Mar;0
2004;Mar;0
2007;Mar;16
2008;Mar;22
2009;Mar;26
2010;Mar;7
2011;Mar;17
2012;Mar;12
2013;Mar;11
2014;Mar;12
2015;Mar;13
2016;Mar;7
2017;Mar;12
2018;Mar;12
2019;Mar;14
2020;Mar;8
2021;Mar;4
2022;Mar;14
2023;Mar;11
2024;Mar;24
2025;Mar;25
2026;Mar;13
1977;Abr;0
1984;Abr;1
1989;Abr;0
2004;Abr;1
2007;Abr;18
2008;Abr;32
2009;Abr;32
2010;Abr;11
2011;Abr;39
2012;Abr;8
2013;Abr;10
2014;Abr;16
2015;Abr;6
2016;Abr;21
2017;Abr;11
2018;Abr;47
2019;Abr;29
2020;Abr;6
2021;Abr;21
2022;Abr;22
2023;Abr;27
2024;Abr;19
2025;Abr;17
2026;Abr;46
1977;Mai;0
1984;Mai;0
1989;Mai;0
2004;Mai;0
2007;Mai;35
2008;Mai;32
2009;Mai;28
2010;Mai;19
2011;Mai;103
2012;Mai;6
2013;Mai;19
2014;Mai;33
2015;Mai;7
2016;Mai;34
2017;Mai;17
2018;Mai;60
2019;Mai;25
2020;Mai;8
2021;Mai;25
2022;Mai;44
2023;Mai;19
2024;Mai;27
2025;Mai;37
2026;Mai;59
1977;Jun;0
1984;Jun;0
1989;Jun;0
2004;Jun;0
2007;Jun;34
2008;Jun;31
2009;Jun;39
2010;Jun;63
2011;Jun;34
2012;Jun;10
2013;Jun;28
2014;Jun;28
2015;Jun;19
2016;Jun;36
2017;Jun;41
2018;Jun;22
2019;Jun;39
2020;Jun;22
2021;Jun;21
2022;Jun;333
2023;Jun;38
2024;Jun;47
2025;Jun;45
2026;Jun;12
1977;Jul;0
1984;Jul;0
1989;Jul;0
2004;Jul;0
2007;Jul;31
2008;Jul;27
2009;Jul;33
2010;Jul;88
2011;Jul;70
2012;Jul;18
2013;Jul;42
2014;Jul;43
2015;Jul;48
2016;Jul;17
2017;Jul;60
2018;Jul;12
2019;Jul;33
2020;Jul;5
2021;Jul;21
2022;Jul;68
2023;Jul;68
2024;Jul;33
2025;Jul;49
2026;Jul;0
1977;Ago;0
1984;Ago;0
1989;Ago;0
2004;Ago;0
2007;Ago;34
2008;Ago;15
2009;Ago;15
2010;Ago;36
2011;Ago;42
2012;Ago;15
2013;Ago;16
2014;Ago;18
2015;Ago;21
2016;Ago;6
2017;Ago;39
2018;Ago;12
2019;Ago;50
2020;Ago;7
2021;Ago;25
2022;Ago;35
2023;Ago;22
2024;Ago;8
2025;Ago;36
2026;Ago;0
1977;Set;0
1984;Set;0
1989;Set;0
2004;Set;0
2007;Set;11
2008;Set;10
2009;Set;13
2010;Set;13
2011;Set;19
2012;Set;9
2013;Set;10
2014;Set;28
2015;Set;8
2016;Set;9
2017;Set;11
2018;Set;7
2019;Set;20
2020;Set;4
2021;Set;5
2022;Set;11
2023;Set;12
2024;Set;13
2025;Set;19
2026;Set;0
1977;Out;0
1984;Out;0
1989;Out;1
2004;Out;0
2007;Out;4
2008;Out;4
2009;Out;2
2010;Out;4
2011;Out;7
2012;Out;5
2013;Out;7
2014;Out;10
2015;Out;0
2016;Out;1
2017;Out;6
2018;Out;2
2019;Out;7
2020;Out;5
2021;Out;6
2022;Out;12
2023;Out;6
2024;Out;12
2025;Out;7
2026;Out;0
1977;Nov;1
1984;Nov;0
1989;Nov;0
2004;Nov;0
2007;Nov;4
2008;Nov;5
2009;Nov;3
2010;Nov;9
2011;Nov;7
2012;Nov;7
2013;Nov;13
2014;Nov;10
2015;Nov;4
2016;Nov;5
2017;Nov;9
2018;Nov;3
2019;Nov;6
2020;Nov;1
2021;Nov;4
2022;Nov;7
2023;Nov;2
2024;Nov;9
2025;Nov;9
2026;Nov;0
1977;Dez;0
1984;Dez;0
1989;Dez;0
2004;Dez;0
2007;Dez;6
2008;Dez;2
2009;Dez;4
2010;Dez;8
2011;Dez;14
2012;Dez;2
2013;Dez;6
2014;Dez;6
2015;Dez;2
2016;Dez;4
2017;Dez;6
2018;Dez;3
2019;Dez;7
2020;Dez;1
2021;Dez;4
2022;Dez;6
2023;Dez;10
2024;Dez;4
2025;Dez;6
2026;Dez;0
1977;LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026;0
1984;LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026;0
1989;LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026;0
2004;LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026;0
2007;LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026;0
2008;LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026;0
2009;LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026;0
2010;LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026;0
2011;LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026;0
2012;LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026;0
2013;LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026;0
2014;LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco Casos confirmados por Mês 1º Sintoma(s) segundo Ano 1º Sintoma(s) Período: 2007-2026;0
